"covariate","percentile","tau_hat","tau_hat_se"
"age_0_19","0.25","0.851844708935853","2.09824465349992"
"age_0_19","0.5","0.77369476662373","1.81072116276417"
"age_0_19","0.75","0.755053519893024","1.80478676791428"
"age_0_19","0.9","0.778037137622554","1.91058675406242"
"age_20_39","0.1","-0.0153171584637732","1.83039463949094"
"age_20_39","0.25","-0.00445988949520576","1.87905764189707"
"age_20_39","0.5","0.77369476662373","1.81072116276417"
"age_20_39","0.75","1.20018240255776","1.46154553889364"
"age_20_39","0.9","1.20965336242973","1.29206318100088"
"age_40_59","0.1","0.769790290949448","1.81108561179915"
"age_40_59","0.25","0.766891277605396","1.80969765309534"
"age_40_59","0.5","0.77369476662373","1.81072116276417"
"age_40_59","0.75","0.790169552559467","1.73894128549934"
"age_40_59","0.9","0.784918113371299","1.71398621459797"
