"covariate","percentile","tau_hat","tau_hat_se"
"slope","0.5","-0.163791316957112","0.578569722582257"
"slope","0.75","-0.163791316957112","0.578569722582257"
"slope","0.9","-0.163791316957112","0.578569722582257"
"age_0_19","0.1","-0.151072541749594","0.577074079272437"
"age_0_19","0.25","-0.159693983949604","0.557643195431445"
"age_0_19","0.5","-0.163791316957112","0.578569722582257"
"age_0_19","0.75","-0.102271937851456","0.484827802834565"
"age_0_19","0.9","-0.0955923119176213","0.43756314907758"
"age_20_39","0.1","0.0417458450863626","0.731338266844834"
"age_20_39","0.25","-0.105246870818631","0.683545868352913"
"age_20_39","0.5","-0.163791316957112","0.578569722582257"
"age_20_39","0.75","-0.227558530933997","0.608774445908663"
"age_20_39","0.9","-0.299728226283495","0.549553550802166"
"age_40_59","0.1","-0.186628266038796","0.568426465175449"
