"covariate","avg","stderr","ranking","scaling","variation","labels"
"X40_49",0.140990061554531,0.000292663696499705,"Q2",0.50812432077195,0.110447210882081,"0.141
(0.000293)"
"X40_49",0.139292283316374,0.000284428177058131,"Q3",0.259261343312481,0.110447210882081,"0.139
(0.000284)"
"X40_49",0.138949956804034,0.000343089359625578,"Q4",0.217722125641113,0.110447210882081,"0.139
(0.000343)"
"X50_59",0.119203176833452,0.000352927066780773,"Q1",0.902841918018798,0.227886567773973,"0.119
(0.000353)"
"X50_59",0.112618626714259,0.000373693998148872,"Q2",0.606774857080472,0.227886567773973,"0.113
(0.000374)"
"X50_59",0.105368545225389,0.000345621280541897,"Q3",0.194929470278046,0.227886567773973,"0.105
(0.000346)"
"X50_59",0.106336085221803,0.00037356761929821,"Q4",0.239172830282964,0.227886567773973,"0.106
(0.000374)"
"X60_69",0.0873235416060758,0.00037763441870893,"Q1",0.906940915800577,0.291278034877988,"0.0873
(0.000378)"
"X60_69",0.0783797708104917,0.000370797996953961,"Q2",0.589236741514724,0.291278034877988,"0.0784
(0.000371)"
"X60_69",0.0698971009103015,0.000327608576841775,"Q3",0.207693059435375,0.291278034877988,"0.0699
(0.000328)"
"X60_69",0.0705591488021575,0.000342771797966692,"Q4",0.231693758736284,0.291278034877988,"0.0706
(0.000343)"
"X70_79",0.0587529552811708,0.000331002395054933,"Q1",0.891859812379658,0.298476033357003,"0.0588
(0.000331)"
"X70_79",0.0522608360095932,0.000325181079195806,"Q2",0.636489104581976,0.298476033357003,"0.0523
(0.000325)"
"X70_79",0.0454780520889676,0.000298288676690237,"Q3",0.281622007773064,0.298476033357003,"0.0455
(0.000298)"
"X70_79",0.0423357687469411,0.000285163087003114,"Q4",0.156837750615237,0.298476033357003,"0.0423
(0.000285)"
"X80_89",0.0322223441271007,0.000235197886066702,"Q1",0.877216485777178,0.286408429250563,"0.0322
(0.000235)"
"X80_89",0.0286401801024571,0.000238809163587618,"Q2",0.665428066645503,0.286408429250563,"0.0286
(0.000239)"
"X80_89",0.024249113824438,0.000213600336701032,"Q3",0.318372937639922,0.286408429250563,"0.0242
(0.000214)"
"X80_89",0.0211055813724378,0.000171837798888261,"Q4",0.132156723675359,0.286408429250563,"0.0211
(0.000172)"
"IMD_score",20.1860893791446,0.160088588797101,"Q1",0.0870412168676536,0.279144462369184,"20.2
(0.16)"
"IMD_score",24.5721172973855,0.151304731849395,"Q2",0.458853580002119,0.279144462369184,"24.6
(0.151)"
"IMD_score",28.1513058552489,0.152607469229678,"Q3",0.821613167519247,0.279144462369184,"28.2
(0.153)"
"IMD_score",26.8223255460483,0.171887027838007,"Q4",0.705744339469718,0.279144462369184,"26.8
(0.172)"
"housing_price_log",12.9295960542736,0.00616560341940317,"Q1",0.259024478924238,0.285214496170937,"12.9
(0.00617)"
"housing_price_log",12.9449368698992,0.00608385670077491,"Q2",0.291928592757432,0.285214496170937,"12.9
(0.00608)"
"housing_price_log",12.9852401994311,0.00664013759732305,"Q3",0.386395156540462,0.285214496170937,"13
(0.00664)"
"housing_price_log",13.2608819856286,0.00854666462117905,"Q4",0.930941814376234,0.285214496170937,"13.3
(0.00855)"
"pop_den_log",7.0163349178516,0.0141558212734561,"Q1",0.0791115951245453,0.484059484473109,"7.02
(0.0142)"
"pop_den_log",7.71240636065145,0.0120198674433408,"Q2",0.49658489071854,0.484059484473109,"7.71
(0.012)"
"pop_den_log",8.08069178114966,0.0101532993949482,"Q3",0.768372203883929,0.484059484473109,"8.08
(0.0102)"
"pop_den_log",8.05718682930396,0.0121566932781158,"Q4",0.753686501201382,0.484059484473109,"8.06
(0.0122)"
"lu_residential",9.90260534325511,0.0882430763889871,"Q1",0.0893175442399288,0.493105655724824,"9.9
(0.0882)"
"lu_residential",14.4279912842273,0.0856127238443866,"Q2",0.441305109463641,0.493105655724824,"14.4
(0.0856)"
"lu_residential",17.1785180378673,0.0851061812421734,"Q3",0.7190636508689,0.493105655724824,"17.2
(0.0851)"
"lu_residential",18.4352696614111,0.10330454579752,"Q4",0.819265220791032,0.493105655724824,"18.4
(0.103)"
