count,count_log,count_point_id,year,month,slope,IMD_score,age_0_19,age_20_39,age_40_59,age_60_90,lu_residential_community,lu_commerce_developed,lu_others,latitude,longitude,ss_curb,ss_vegetation,ss_sidewalk,ss_street_light,ss_guard_rail,ss_parking,ss_bike_lane,ss_curb_cut,ss_pothole,ss_bench,ss_bike_rack,ss_pedestrian_area,ss_visual_complexity,count_log,slope_binary_80percent,slope_binary,slope_binary_60percent,ss_sidewalk_binary,ss_sidewalk_binary_80percent,ss_sidewalk_binary_60percent,ss_pedestrian_area_binary,ss_bike_lane_binary,ss_bike_rack_binary,ss_parking_binary,ss_curb_binary,ss_curb_cut_binary,ss_pothole_binary,ss_street_light_binary,ss_guard_rail_binary,ss_bench_binary,ss_vegetation_binary_80percent,ss_vegetation_binary,ss_vegetation_binary_60percent,ss_construction,ss_road_flat,ss_marking,ss_nature,ss_street_object,od_person_count,od_bicycle_count,od_vehicle_count,od_animal_count,housing_price_log,poi_betweenness_log,poi_accessibility_log,traffic_speed_log,pop_den_log,poi_log
366.0,5.905361848054571,16202,2019,7,14.405333227040815,27.345,33.67897138116964,30.44379925342181,24.96889257569473,10.908336789713813,36.37241726304586,17.035726179431755,30.278070729677623,51.520156,0.04528157,0.47709147135415003,7.352558771769201,1.7273426055908099,0.0,1.23146375020344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.47988639591873,5.905361848054571,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.58566856384274,41.445859273274735,1.6944249471028598,0.0,0.55809020996091,0.3333333333333333,0.0,0.6666666666666666,0.0,12.801127279089672,0.0,2.315708706386636,3.877431560658527,9.158653945657951,3.5553480614894135
107.0,4.68213122712422,16239,2017,6,38.33332801938528,9.252804666666666,22.305295950155763,14.828660436137072,30.529595015576323,32.33644859813084,0.5648659800702751,4.500960372838433,92.00625904520388,51.344937,0.10926815,1.5982945760091052,12.412375495547336,1.29460891087849,0.014751865750265,0.004813784644717143,0.0,0.0,0.009413560231525,0.0,0.0,0.0,0.0,41.21013104615123,4.68213122712422,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0.965527125767275,25.855125699724468,1.21157623472667,7.077975500197631,0.10680868512107168,0.0,0.0238095238095238,4.785714285714286,0.0,13.308844604096606,0.0,0.8554873400847773,4.032469158504013,5.274767454576994,0.6931471805599453
170.0,5.14166355650266,16239,2019,5,38.33332801938528,9.169,22.916666666666664,14.522058823529411,29.10539215686275,33.455882352941174,0.5648659800702751,4.500960372838433,92.00625904520388,51.344937,0.10926815,1.4064036309719001,21.938905864953988,0.894337892532345,0.0,0.0,0.0,0.0,0.02558901906013,0.0,0.0,0.0,0.0,38.030785801839606,5.14166355650266,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0.42472779750823,30.140305310487737,1.86361744999885,6.39887228608131,0.1659378409385534,0.5,0.0,4.8125,0.0,13.057826989597816,0.0,0.8554873400847773,4.032469158504013,5.291365259180091,1.3862943611198906
338.0,5.82600010738045,16258,2015,6,5.172115062794849,8.214,19.803063457330417,50.0,20.0218818380744,10.175054704595189,2.9202203623730587,27.17186533185017,36.495850583286696,51.41507,-0.19238867,0.31720416455757666,0.6977445776403534,1.83416414680925,0.002770005183044901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48196762120703,5.82600010738045,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12.112565784503111,24.900786697136194,5.174441902635441,2.06169226387069,0.7677364457767867,0.42577436771810173,0.07729468599033816,7.304660414890595,0.0,13.346508027451943,0.0,2.8507293296352243,3.502549875922443,9.489310707453335,3.1780538303479458
3601.0,8.189244525735901,16401,2015,4,18.31128044892233,17.447,5.983889528193326,49.07940161104718,25.31645569620253,19.62025316455696,17.508111330626157,33.5050624521882,21.61257425120817,51.51684343,-0.12782715,0.49473848836173995,6.07955229693445,2.05873271514629,0.006655989022090517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.38936799207139,8.189244525735901,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,24.54451733622057,24.351326761574573,1.15096281314717,0.53841738865293,0.27992951458896,1.0775862068965518,0.0560344827586206,5.051724137931034,0.0,12.72806370319668,0.0,4.824587045955054,3.487375077903208,8.594143019485504,6.023447592961033
162.0,5.093750200806762,16404,2015,4,18.09421817225552,29.254,19.554455445544555,56.82068206820682,18.15181518151816,5.473047304730473,1.474926530931902,48.72139276702283,18.52517643629701,51.520641,-0.26316557,0.07251203060150001,6.541556119918809,0.35590827465057,0.00256597995757875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.63690407099081,5.093750200806762,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9.49740111827848,18.646275997161858,4.17529940605163,0.76767802238463,0.4618048667907538,0.0,0.0,10.375,0.0,12.573320004015606,7.13133212010761,2.887093817042044,3.502549875922443,9.093567554627766,1.9459101490553132
25.0,3.258096538021482,16433,2015,9,21.544658801020407,20.176,22.729868646487724,33.6950314106225,25.75671045117076,17.818389491719017,0.1230747941779363,22.368204366536617,66.41575773254914,51.595549,-0.23374389,0.28673807779947497,5.63559490337706,2.3157701157686947,0.008095356456015,0.12724064944083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.51164602830511,3.258096538021482,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3.206066917954815,35.148948117306354,0.489596734967145,1.0871535853335699,0.5270857560007018,0.087719298245614,0.0,4.535087719298246,0.0,12.978783957725948,1.906893496712862,2.1315581445091754,3.8979240810486444,8.291498661228799,1.9459101490553132
612.0,6.418364935936212,16434,2015,6,29.75544284119898,17.34,24.23880597014925,37.43283582089552,25.313432835820898,13.014925373134329,6.342525726997176,20.47188451410461,46.45086946411496,51.549797,-0.18200533,0.70029788547091,1.4465183681911802,1.7127799987792898,0.0017484029134111113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7267744321108,6.418364935936212,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,14.53376875983342,29.396290249294697,4.589493009779175,0.0,0.6591129302978099,0.6666666666666666,0.0,5.311111111111111,0.0,13.522482219667573,0.0,3.214361820380115,3.502549875922443,9.339745195266927,3.58351893845611
392.0,5.973809611869261,16434,2017,6,29.75544284119898,15.3845,26.359832635983267,34.67573221757323,26.62133891213389,12.343096234309623,6.342525726997176,20.47188451410461,46.45086946411496,51.549797,-0.18200533,0.02142588297526,2.3321306705474747,1.45517577727635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.228495501127355,5.973809611869261,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.976276377836845,23.651409844557435,4.957515498002364,0.0,0.8368910352388776,0.6,0.0,6.264583333333333,0.0,14.141644538499055,0.0,3.214361820380115,3.502549875922443,9.472070953737866,3.7612001156935624
359.0,5.886104031450156,16434,2019,7,29.75544284119898,13.429,27.498781082398832,33.105802047781566,28.47391516333496,10.921501706484642,6.342525726997176,20.47188451410461,46.45086946411496,51.549797,-0.18200533,0.70965343051486,2.47366375393337,5.46952883402506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.52541103421043,5.886104031450156,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.824901368882898,31.57026396857367,4.8399077521430005,0.0,1.0310798221163937,0.4666666666666667,0.1111111111111111,5.0,0.0,13.918970168045353,0.0,3.214361820380115,3.502549875922443,9.542243401663905,4.290459441148391
